patient_id,series_id,middle_z
16602,15856,129
16618,63074,98
16645,29832,119
16645,4123,105
16682,33355,96
16691,35894,90
16691,60898,23
16712,27413,118
16712,8552,183
16715,18441,86
16722,48930,111
16727,54772,114
16731,50144,100
1675,15870,108
16776,23671,97
16776,6871,98
16800,59041,93
16836,15920,120
16859,38307,91
16914,59379,116
16926,38242,107
16930,24368,97
16930,56687,93
16935,59318,99
16946,17793,154
16946,31332,89
16963,6910,75
17002,14009,114
17044,6043,109
1705,50078,102
17128,36728,93
1713,43631,97
17131,43657,102
17138,39811,118
17159,7808,99
17178,12055,78
17185,48568,52
17185,62006,159
17190,1952,95
17216,35892,87
1723,3381,136
17252,29243,118
17263,48466,130
17264,30494,91
17264,8766,159
17265,52279,103
17304,16099,121
17304,30935,170
17326,4617,105
17341,44036,114
17350,13731,103
17350,37587,105
17373,7507,120
17381,10099,139
17381,34731,98
1743,39569,115
17439,54088,90
17485,20975,120
17502,42535,93
17542,35220,120
17569,24508,125
17569,25097,106
1758,49718,108
1758,8762,96
17588,26962,152
17588,64104,95
17590,10358,85
17592,33237,115
17598,31429,97
17598,43681,104
17599,54523,117
17629,59195,132
17662,41795,90
17750,39404,113
17750,60253,113
17774,44435,103
17774,62427,150
17782,15886,102
17806,2473,119
17826,11060,96
17842,61501,117
17843,46156,94
17847,15412,189
17847,15433,112
17854,19439,102
17858,28796,144
17858,42805,131
17872,15802,96
17888,40071,107
17888,50886,146
17890,4821,117
17897,48143,120
17945,59385,119
17952,51116,107
17952,60165,98
17959,37048,174
17959,6414,103
17974,3632,96
17974,41144,172
17978,52176,117
17990,22445,94
18001,52455,76
18025,11166,112
18028,3115,108
18051,15192,69
18051,56871,69
18053,29396,118
18080,12951,111
18093,46244,115
18093,52338,118
1814,47007,112
18148,3877,134
18157,13388,180
18157,2117,102
18210,14715,108
18210,61073,119
18240,38191,108
1826,17080,171
1826,28502,95
18287,45183,90
18301,1407,64
18327,4510,107
18356,26813,93
18362,52756,83
18362,9008,148
18366,43529,120
18366,55885,89
18377,6884,83
18384,29422,100
18384,57777,183
18404,18437,117
18407,14165,97
18407,57683,113
18408,8529,121
18413,28978,114
18426,63545,94
18517,42818,168
18517,51007,109
18520,41346,92
18520,49052,166
18523,53938,115
18524,19299,111
18524,65281,108
18534,17043,159
18534,20668,88
18628,32935,115
18639,28870,76
18653,17835,121
18682,55449,80
18697,12840,92
18697,42973,91
187,9748,109
18727,21894,96
18737,21780,91
18737,35466,99
18762,48198,105
18762,55964,156
18769,17758,150
18769,31810,93
18775,22816,91
18779,62696,110
18811,25133,90
18811,31269,173
18821,2559,93
18821,42953,104
18863,45450,111
18872,30223,103
18872,55191,165
18877,39628,99
18905,14403,100
18905,63415,99
18920,18093,163
18920,41708,94
18947,40068,99
18948,11665,94
18948,47689,149
18950,21789,99
18950,63251,170
18965,32202,151
19,14374,106
1900,48371,113
19017,63087,104
19018,19922,90
1902,2215,125
1902,5687,106
19045,53538,104
19050,21227,85
19050,30805,126
19054,48078,97
19065,56813,96
1908,35311,117
1908,4290,111
19082,42519,102
19082,51738,87
19097,13589,99
19120,55292,101
19139,59463,101
19144,24861,100
19160,13111,95
19160,54793,155
19169,31702,101
19169,52390,89
19170,39114,105
19170,44974,161
19247,15953,109
19247,38350,100
19249,19657,105
19249,48901,108
19263,38576,114
19263,42431,96
1927,49929,106
19314,42836,90
19318,18403,108
19330,46494,128
1934,39625,91
19344,25973,107
19344,55832,93
19366,3532,88
1938,23767,116
19384,13750,104
19384,3263,187
1939,51592,98
19410,19927,96
19410,7334,97
19442,23146,123
19442,45709,51
19448,14466,148
19448,5359,91
19461,1858,111
19461,34843,97
19464,2162,155
19464,31391,123
19486,14516,122
19543,44583,97
1956,17728,111
19574,42262,107
19574,5971,124
19577,11548,95
1960,13901,109
19600,10745,95
19647,40846,110
19662,64221,100
19664,31294,175
19664,653,97
19679,7439,163
19679,7923,102
19684,13033,98
19684,7645,98
19691,33284,96
19691,6311,91
19713,11474,128
19721,838,84
19740,10185,99
19740,39521,174
19742,4589,106
19763,12621,42
19763,17217,71
19766,29313,82
19766,56628,108
19785,10302,96
1979,39162,89
19826,39135,93
19828,13713,114
19828,37570,153
19847,21341,105
19847,41146,103
19855,2871,95
19855,53259,165
19857,27502,94
19857,31547,152
19865,24191,133
19865,54445,131
19881,48096,103
19913,29554,116
19913,56040,174
19914,23769,106
19916,42815,108
19930,32570,110
19930,34425,104
19958,56530,104
20087,30769,106
20087,45305,102
201,49066,99
20118,16384,115
20125,19598,97
20135,63081,89
20207,33860,104
20207,7146,92
20213,29490,102
20213,62493,103
20225,20933,100
20297,28647,127
20297,34360,101
2031,26726,115
20369,44901,95
20385,31849,109
20385,50084,87
20399,428,112
20423,42360,145
20423,61541,107
20426,18593,124
2043,50202,96
20454,47724,96
205,62534,87
2050,59061,145
20605,30641,98
20605,52020,113
20621,15271,90
20621,60881,151
20641,1988,92
2067,55777,87
20689,14184,95
20689,48572,188
20705,41774,98
20705,55368,106
20723,35375,104
20740,64996,147
20740,7319,99
20788,24484,147
20788,58333,73
20791,19070,115
20830,51433,114
20869,35067,98
20907,18719,100
20907,44856,123
20930,15090,129
20951,15539,111
20951,6575,113
2096,16547,111
20981,2809,169
20981,848,99
21050,6536,100
21082,42382,118
21082,59217,160
2112,27280,112
21141,31200,94
21147,44447,98
21151,11509,104
21172,3122,118
21172,44193,184
21212,48028,96
21212,53963,164
21234,5342,112
21253,63049,110
21264,27566,101
21293,27585,90
21293,52316,101
21308,64822,121
21325,12196,94
21325,29647,102
2133,20209,120
21402,10247,103
21402,3339,178
21407,39514,153
21407,52478,99
21411,39864,89
21420,26378,147
21455,15329,110
2147,15889,103
2147,32859,162
21471,31862,110
21518,10179,66
21518,43213,58
21538,2474,101
21538,31410,169
2161,21421,165
2161,6961,103
21646,1274,97
21673,13545,99
21696,29734,114
21724,18578,180
21724,50382,90
21734,35796,89
21739,60088,102
21759,22442,101
21773,34891,99
21773,41309,155
21776,24433,118
21782,36705,92
21795,48429,111
21821,50659,121
2185,15665,110
21852,13288,169
21852,61007,96
21866,14644,184
21866,24091,91
21889,55829,155
21889,56160,102
2189,11172,111
2189,62694,178
21905,58914,91
21946,37529,87
21970,30648,102
2200,21359,117
22005,35053,121
22009,13414,132
22009,59177,116
22015,297,106
22049,14356,102
22061,21879,109
22064,4876,106
22064,6684,120
2209,21338,106
22099,18613,155
22099,19343,86
22102,14112,148
22102,20846,109
22103,43259,97
22113,21664,110
22122,17974,87
22122,56816,87
22132,52078,101
22139,4415,124
22155,58424,107
22175,57964,107
22177,8061,107
222,3646,85
222,64174,88
22200,25378,88
22210,14598,108
22250,5677,98
22260,22402,147
22260,51729,106
2230,20232,104
2230,42154,112
2232,4213,106
22323,16871,101
22323,32516,98
22372,29262,121
22394,44273,127
22443,38062,109
22455,44600,108
22456,10135,101
22461,8942,112
22502,37297,119
22502,48405,95
2254,15570,101
2254,687,115
22580,9795,93
22595,22975,98
22623,26906,87
22626,27371,108
22639,23171,103
22642,31814,104
22676,20648,147
22676,46407,93
22726,26627,115
22726,29869,121
22755,44712,111
22758,13287,85
22760,11261,143
22774,19494,98
22810,51423,109
22845,44281,124
2288,58403,155
22931,48971,100
22938,18915,114
22954,47939,120
22954,54699,101
22957,45421,92
22957,57042,157
22961,26153,100
22961,46387,101
22967,19528,96
22984,56969,115
23029,54527,106
23029,64737,108
23115,63632,97
23139,39950,137
23170,33591,144
23170,49863,103
23185,26067,114
23185,26108,97
23188,37757,97
23188,61725,175
23198,19149,104
23208,38641,98
23241,9031,96
23275,36770,79
23310,31850,131
23310,53997,123
23311,2339,96
23311,2828,124
23332,42130,85
23340,56762,108
23361,22493,107
23361,8050,100
23367,36368,108
23369,61441,120
23369,8222,103
23387,35604,179
23387,60267,108
23415,47601,119
23423,27165,99
23424,33424,77
23433,3465,97
23434,20280,148
23434,48409,132
2345,3507,98
23500,46532,113
23561,19317,99
23571,4054,100
23583,30329,99
23584,49506,94
23602,13693,141
23707,19736,118
23708,19999,102
23708,7192,170
23709,29716,107
23737,29004,159
23737,49921,108
23739,11609,102
23749,12649,109
23777,45863,100
23787,41449,99
23787,61730,178
23817,14083,93
23829,39207,109
2384,34534,101
23857,14120,99
23857,52583,171
23885,47614,89
23885,4846,95
23965,1053,149
23965,48465,89
23979,1788,143
23979,629,105
23991,34620,117
23994,10007,100
23994,10968,187
2402,16134,98
2402,45846,154
24031,42352,102
24049,44334,162
24049,6621,86
24064,10990,108
24102,46973,88
24102,57528,85
24103,56184,109
24156,58935,73
24221,8437,119
24228,26786,91
24229,27769,107
24229,62614,166
24270,48944,100
24270,62901,101
24272,40904,112
24272,62569,161
24288,15972,120
2429,13270,138
2429,23203,114
24306,29547,93
24306,51975,102
24310,4117,179
24322,47449,119
24329,5086,104
2436,14666,116
2436,26438,164
24372,25027,154
24372,50036,90
24375,64651,121
2440,12570,118
2440,20182,118
24422,64573,108
24427,31357,107
24435,38353,117
24435,8546,137
24439,5104,90
24448,39570,89
24461,6417,105
24464,46080,100
24476,17320,104
24476,40924,160
24499,21914,96
24513,17044,172
24513,60883,101
24524,40496,105
24524,61670,107
24528,27472,69
24528,33573,116
24529,3257,88
24538,15049,107
24538,48638,103
24652,13893,107
24654,45446,94
24701,810,94
24721,37002,161
24721,56761,102
24736,16954,115
24736,51027,116
2475,44498,174
2475,60862,106
24753,31539,105
24753,50418,120
24780,39115,138
24787,49691,186
24787,57331,107
24790,19635,110
2482,17473,105
24829,1631,74
24829,49275,71
24835,40369,181
24835,50587,95
24849,53821,102
24867,23016,111
24867,40267,100
24932,36611,109
24936,59075,82
24969,23049,103
24972,11737,126
24975,38572,136
24977,40335,87
24984,52251,152
24984,5472,87
25030,47940,123
2504,22929,124
2504,51881,90
25064,50707,117
25093,47775,105
25095,55034,111
25099,32510,95
25102,32991,106
25102,50875,100
25110,14948,116
25110,28060,110
25121,38615,121
25121,59286,166
25128,63523,107
25128,9683,119
25160,18972,100
25173,18194,61
25173,9062,110
25186,32439,105
25196,29152,93
25211,53550,116
25231,50158,150
25245,35776,145
25245,62367,85
25279,10789,91
25289,18681,75
25289,27372,70
25293,21079,123
25294,9435,104
25306,40492,74
25309,9072,114
25316,28362,95
25316,3086,162
25321,1487,95
25347,4929,101
25353,63618,113
25363,28338,120
2539,17560,159
2539,58401,104
25404,58230,106
25426,54019,97
25479,40957,124
2548,58790,93
25489,46951,122
25537,25995,100
25550,14302,100
25550,22116,118
25556,14621,143
25556,33329,108
25598,13843,138
25598,34344,134
25647,1974,91
25680,15204,109
25680,49905,95
25716,19160,93
25716,38450,111
2572,23364,93
25726,17116,95
25746,37749,106
25760,53211,167
25762,28940,176
25762,53778,106
25779,11366,95
25780,36003,92
25835,47290,97
25839,19314,99
25839,62304,98
25840,7346,106
25860,30688,93
25869,45047,68
25869,56457,95
25894,33269,147
25894,36584,103
25899,21872,106
25922,19952,116
25922,24346,133
25924,45490,105
25924,58983,120
25946,59713,112
25957,17137,95
25957,53750,96
25978,59323,116
25993,48488,114
25999,16651,108
25999,64762,181
26,18881,108
26,41997,100
26009,13895,74
26009,6135,81
2602,38305,102
2602,60750,113
26045,20852,109
26053,19031,96
26053,44922,98
26056,3476,169
26056,5660,61
26074,22202,106
26074,60068,98
26080,35998,121
26092,53292,105
26092,54577,151
26098,17601,174
26098,17808,191
26099,30189,175
26099,59847,113
26155,11129,131
26164,38081,86
2621,32946,103
26224,35784,104
26224,58258,108
26231,4819,108
26239,39373,53
26257,33299,171
26257,8418,109
2627,23254,118
26272,42791,115
2629,43200,133
263,44610,103
26305,40255,117
26305,59832,112
26323,49394,123
26324,64947,125
26328,6469,94
26354,26561,112
26365,22632,103
26369,48783,110
26385,31101,112
26468,5291,118
26471,35719,134
26471,49728,106
26473,11365,120
26501,22032,93
26501,31614,172
26510,46157,102
26510,7994,190
26562,33940,95
26562,56411,140
26575,2216,106
26587,29339,110
26587,57590,106
26598,32956,103
26627,33293,121
26627,59729,177
26628,29436,96
26633,33772,102
26633,7222,176
26644,35293,105
26644,37410,183
26659,23622,100
26668,43792,98
26668,57133,174
26698,18658,98
26698,43485,163
26711,25813,111
26727,48417,165
2675,25764,99
2675,3599,92
26763,23337,106
26778,63729,111
26792,62808,79
26801,64272,84
26802,46292,87
26802,56542,173
26838,41229,107
26883,57967,113
26885,11048,83
26926,33987,94
26926,43286,143
26983,59198,125
26993,12136,109
26993,60457,109
27005,31712,96
2703,60401,109
27030,14480,111
27030,17260,178
27037,63801,97
27039,65201,119
27093,59914,107
27104,64397,72
27127,16098,93
27127,40402,158
27143,52443,110
27143,63338,107
2715,17018,96
2715,64423,119
27196,17182,93
27231,48815,87
27238,11821,101
27238,38586,102
27289,13087,86
27289,24214,92
27291,2839,111
273,54878,110
27303,32849,95
27303,49250,109
27333,21777,163
27333,48162,105
27419,14924,100
27419,6473,111
27421,56648,109
27428,13218,72
27428,30498,156
27434,19632,115
27436,51581,99
27522,53043,99
27522,54462,96
27555,21692,96
27555,35422,166
27575,10273,136
27597,51928,116
27617,9155,109
2763,14075,102
27648,65402,115
27661,28184,164
27661,41332,105
27667,25427,120
27667,53150,159
27699,13206,103
27699,64154,104
2770,35059,99
2770,50533,104
27701,4834,89
27715,16924,105
27736,8833,120
27773,32785,115
27781,54665,92
27782,20749,146
27782,9587,105
27816,14844,116
27816,4027,161
27884,31343,90
27897,17730,141
27907,2558,167
27907,47784,99
27910,999,116
27922,19003,120
27938,51935,100
27954,20290,105
27963,10170,127
27963,46904,100
27969,6989,119
27971,41121,108
27971,55548,110
27991,102,109
27991,64897,107
28045,16116,124
28055,43798,91
28095,20664,149
28095,58391,119
28099,13465,105
28099,26101,172
28123,53651,98
28127,15696,115
28127,32214,108
28128,27283,99
28128,47711,166
28144,26187,111
28144,63182,161
28157,31173,97
28186,4875,134
28202,9765,93
28211,47454,46
28211,9673,66
28213,59048,94
28224,25497,148
28224,58022,96
28284,37474,158
28284,58948,112
28288,28267,103
28288,33659,165
28294,21366,165
28294,28339,76
28297,43580,119
28297,54556,119
28302,52097,80
28302,9399,169
28306,26421,101
28321,40219,147
28331,46570,93
28371,30990,146
28371,40531,102
28381,50943,114
28381,53911,162
28417,59926,113
28433,20764,106
28433,65283,104
28456,5535,160
28456,61198,138
28467,10480,181
28467,64134,102
28468,4310,116
28473,5744,103
28485,2929,98
28511,24062,92
28511,43035,100
28544,9119,122
28555,15967,106
28556,21349,118
28569,12674,106
28569,64117,91
28581,56748,122
28585,29494,143
28585,33071,92
28595,62678,94
28621,40360,107
28621,51703,153
28624,13064,106
28672,27601,109
28672,35491,165
28698,23647,101
28704,42081,110
28724,55735,106
28753,24471,121
28753,26792,164
28769,17111,94
28769,48451,120
28786,29431,103
28870,47024,117
28892,14923,83
2891,14438,88
2891,41428,168
28925,10385,121
28927,44525,91
28944,3217,121
28976,24373,91
28976,31146,102
2898,33782,181
2898,6519,107
28983,4964,93
28983,8593,110
28990,54146,108
29005,25652,151
29005,41222,83
29037,48467,108
29049,1092,100
29049,49838,153
29062,65515,98
29072,52695,108
2909,21385,85
2909,56120,68
29128,47004,121
29128,62543,106
29168,53146,107
29177,19627,174
29177,21068,93
29181,28776,120
29224,10048,166
29224,59280,94
29235,27686,103
29259,51450,112
29319,17263,98
29319,9369,150
29336,15285,117
2937,8242,105
29385,59523,159
29385,59928,98
29397,5475,111
2940,24146,93
2940,36847,161
29407,12288,107
29412,34678,164
29412,5569,105
29433,44804,124
29443,17317,121
29448,14488,91
2945,12659,93
29483,13341,138
29511,21235,116
29518,41703,179
29518,43308,96
29529,54979,106
29529,64330,166
2953,12629,67
2953,15240,86
29539,54335,109
29541,14308,103
29541,52005,154
29553,23988,108
29565,36753,99
29603,23725,110
29606,26921,150
29606,65125,164
29624,39261,117
29624,51089,173
29637,36172,112
29641,22396,162
29641,29571,115
29647,62341,169
29647,942,100
29657,2907,100
29692,37953,101
29700,64233,88
29706,2626,90
29706,64850,179
29731,30872,87
29749,28837,110
29749,63714,104
29758,44318,104
29758,60052,150
2978,13271,92
29831,12529,103
29858,16174,115
2986,12793,122
2986,26198,121
29876,27172,102
29881,35631,112
29893,12168,95
29931,37807,96
29931,53006,94
29978,39293,164
29978,59236,94
29987,34318,101
30064,44212,80
3007,32217,61
3007,59104,151
30078,21759,136
30091,54072,69
30091,62938,77
30137,43835,108
30203,31069,93
30204,39095,99
3021,883,94
30227,57182,94
30286,9712,105
30327,2049,113
30327,51597,106
30331,35573,88
30356,11911,126
30356,44549,101
30365,48873,96
30394,48358,172
30394,56380,94
30396,40374,99
30396,53234,104
30405,6181,96
30424,1481,100
30427,29464,117
30427,49470,170
30436,15592,101
30436,28517,160
30446,24134,115
30454,60403,107
30487,1063,122
30488,26683,110
30489,37011,109
30489,59073,164
30497,43659,98
30499,41831,85
30510,34831,103
30514,43994,99
30514,5323,156
30515,12104,127
30566,7130,115
30604,26811,82
30604,51843,178
30613,17269,93
30613,41008,95
30628,9987,116
30683,38271,105
30697,21854,178
30697,3905,115
30698,26709,107
30706,17113,102
30706,61660,160
30730,14172,96
30730,53160,105
30758,46619,148
30758,54365,98
30775,23045,106
30791,11135,95
30791,37809,162
30877,58331,92
30890,27030,162
30890,383,100
30891,44561,125
30923,12347,104
30923,59486,103
30938,34613,97
30954,3165,115
30954,3768,168
30984,17603,121
310,34700,109
31014,9410,126
3103,34693,105
31033,48322,115
31034,48129,120
31051,10730,87
31051,18202,179
31057,32337,126
31070,64354,105
31087,39366,116
31158,28163,31
31158,60358,83
31177,12474,123
31220,10518,92
31225,50145,116
31228,14557,169
31228,515,95
31242,22460,105
31242,55243,151
31256,28249,96
31275,20412,116
31276,37315,88
31284,9913,99
31286,36214,98
31286,45017,159
31289,22767,98
31289,63310,111
31293,5213,152
31293,60873,78
31307,58970,184
31307,62710,104
31308,47675,97
31308,7973,111
31339,40176,165
31339,56722,89
31403,27799,117
31462,20564,110
31462,23321,82
31474,20619,96
31478,31107,91
31490,21243,108
31508,47637,89
31572,8595,122
3158,1656,94
31583,17485,107
31586,41374,119
31586,7681,118
31636,5118,106
31636,5425,106
31645,10931,95
31645,28279,97
31658,36981,113
31658,5313,103
31667,12428,22
31667,39530,106
31694,32672,213
31724,12672,96
31728,23062,142
31735,14264,107
31735,26210,122
31747,57634,91
31747,8133,156
31749,32476,94
31767,54041,96
31769,30977,120
31777,29038,120
31781,65514,95
318,58344,123
31815,40669,97
31842,21551,104
31845,15919,101
31845,17738,113
31853,1368,93
31860,36219,106
31896,54770,170
31896,64942,93
31899,65172,102
31919,42229,107
31927,47897,85
31927,52137,107
3194,56169,125
31966,41490,101
31966,49736,138
31972,34854,122
31985,61748,103
31992,17791,175
31992,41895,111
31995,45169,117
32001,1357,106
32001,64242,179
32011,6027,120
32036,38226,176
32036,43555,109
32072,35846,101
32079,61033,119
32081,60792,111
3210,20581,113
32139,9651,118
32154,57025,105
32154,59584,103
32195,52275,110
32197,23999,156
32197,30197,93
3223,13662,54
3223,62225,184
32235,18576,101
32266,38619,80
32266,56674,145
32269,51897,103
32269,59095,156
32270,11399,94
32270,62020,94
32272,13774,90
32340,14762,102
32347,27781,169
32347,40266,105
32354,6030,113
32379,45992,128
32393,46307,180
32393,63147,96
32397,5045,185
32397,53484,95
32405,26608,103
32425,26840,93
32425,5218,86
32442,45515,103
32442,550,95
32448,28546,114
32529,1478,145
32529,40022,97
32531,30892,105
32531,51813,170
32541,51775,82
32565,54756,164
32565,6830,93
32568,26178,101
32568,39807,100
32604,17211,92
32605,42408,118
32613,15943,85
32613,31599,94
32627,51693,110
32628,45957,105
32664,58501,116
3267,2262,103
3267,58985,165
32703,49539,108
32723,19334,126
32723,33678,105
32726,12806,152
